condition,environment,groupID,subjectID,groupSize,averagePerformance,optimalChoiceRate,optimalChoiceCount,totalRoundNum,taskDifficulty,groupSize_standerized,groupSize_centralized,groupSize_standerized2,groupSize_centralized2,choiceCount_poor,choiceCount_good1,choiceCount_good2,average_entropy,average_gini
5,environment 2,subRoom5_11_6,A22T69YW4WUANF,2,2,0,0,30,78%,-1.40048349375603,-11.0653153153153,-1.07852732528348,-8.42119205298013,0,30,0,0.504743802857166,0.4
5,e1+e2,subRoom5_11_6,A22T69YW4WUANF,2,1.88405797101449,0.449275362318841,31,69,78%,-1.40048349375603,-11.0653153153153,-1.07852732528348,-8.42119205298013,5,61,3,0.448051564130455,0.429951690821256
5,environment 1,subRoom5_11_6,A2NL38BFEE3BVY,2,1.375,0.375,15,40,78%,-1.40048349375603,-11.0653153153153,-1.07852732528348,-8.42119205298013,10,15,15,0.394331095982161,0.452991452991453
5,environment 2,subRoom5_11_6,A2NL38BFEE3BVY,2,1.4,0.1,3,30,78%,-1.40048349375603,-11.0653153153153,-1.07852732528348,-8.42119205298013,21,6,3,0.504743802857166,0.4
5,e1+e2,subRoom5_11_6,A2NL38BFEE3BVY,2,1.38571428571429,0.257142857142857,18,70,78%,-1.40048349375603,-11.0653153153153,-1.07852732528348,-8.42119205298013,31,21,18,0.44165082750002,0.429951690821256
6,environment 1,mainRoom6_12,A12YFNOJLHN9SG,24,1.12820512820513,0.128205128205128,5,39,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,23,5,11,0.914795126161476,0.170951340802599
6,environment 2,mainRoom6_12,A12YFNOJLHN9SG,24,2.2,0.5,15,30,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,9,6,15,0.893988529339475,0.224191033138402
6,e1+e2,mainRoom6_12,A12YFNOJLHN9SG,24,1.59420289855072,0.289855072463768,20,69,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,32,11,26,0.905748779717128,0.194439440362512
6,environment 1,mainRoom6_12,A140524EWF2GKE,24,1,0,0,40,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,40,0,0,0.916074086770926,0.170284063762325
6,environment 2,mainRoom6_12,A140524EWF2GKE,24,1,0,0,30,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,30,0,0,0.893988529339475,0.224191033138402
6,e1+e2,mainRoom6_12,A140524EWF2GKE,24,1,0,0,70,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,70,0,0,0.906608847871732,0.193721876534532
6,environment 1,mainRoom6_12,A1D4XBPYMV5GP0,24,1,0,0,40,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,40,0,0,0.916074086770926,0.170284063762325
6,environment 2,mainRoom6_12,A1D4XBPYMV5GP0,24,1,0,0,30,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,30,0,0,0.893988529339475,0.224191033138402
6,e1+e2,mainRoom6_12,A1D4XBPYMV5GP0,24,1,0,0,70,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,70,0,0,0.906608847871732,0.193721876534532
6,environment 1,mainRoom6_12,A1LRJ2MQD4AMES,24,1.175,0.175,7,40,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,14,7,19,0.916074086770926,0.170284063762325
6,environment 2,mainRoom6_12,A1LRJ2MQD4AMES,24,2.4,0.5,15,30,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,3,12,15,0.893988529339475,0.224191033138402
6,e1+e2,mainRoom6_12,A1LRJ2MQD4AMES,24,1.7,0.314285714285714,22,70,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,17,19,34,0.906608847871732,0.193721876534532
6,environment 1,mainRoom6_12,A1UDRFUL4ZYO60,24,1.28205128205128,0.282051282051282,11,39,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,10,11,18,0.914988514069719,0.17058811389475
6,environment 2,mainRoom6_12,A1UDRFUL4ZYO60,24,2.03571428571429,0.357142857142857,10,28,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,9,9,10,0.890692824288024,0.227109440267335
6,e1+e2,mainRoom6_12,A1UDRFUL4ZYO60,24,1.59701492537313,0.313432835820896,21,67,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,19,20,28,0.904835091474384,0.194566858416453
6,environment 1,mainRoom6_12,A1VMLIEXDEIX9Q,24,1.15,0.15,6,40,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,17,6,17,0.916074086770926,0.170284063762325
6,environment 2,mainRoom6_12,A1VMLIEXDEIX9Q,24,1.83333333333333,0.266666666666667,8,30,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,13,9,8,0.893988529339475,0.224191033138402
6,e1+e2,mainRoom6_12,A1VMLIEXDEIX9Q,24,1.44285714285714,0.2,14,70,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,30,15,25,0.906608847871732,0.193721876534532
6,environment 1,mainRoom6_12,A1WOV2JIV5I9VE,24,1.35,0.35,14,40,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,16,14,10,0.916074086770926,0.170284063762325
6,environment 2,mainRoom6_12,A1WOV2JIV5I9VE,24,2.16666666666667,0.433333333333333,13,30,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,8,9,13,0.893988529339475,0.224191033138402
6,e1+e2,mainRoom6_12,A1WOV2JIV5I9VE,24,1.7,0.385714285714286,27,70,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,24,23,23,0.906608847871732,0.193721876534532
6,environment 1,mainRoom6_12,A1YGNGK7ZO83PX,24,1.17948717948718,0.179487179487179,7,39,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,24,7,8,0.939563165918898,0.170284063762325
6,environment 2,mainRoom6_12,A1YGNGK7ZO83PX,24,2.26666666666667,0.533333333333333,16,30,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,8,6,16,0.893988529339475,0.224191033138402
6,e1+e2,mainRoom6_12,A1YGNGK7ZO83PX,24,1.65217391304348,0.333333333333333,23,69,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,32,13,24,0.91974810653654,0.193721876534532
6,environment 1,mainRoom6_12,A2G5ZASH1MGQTV,24,1.19230769230769,0.192307692307692,5,26,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,18,5,3,0.89990128855438,0.171703996486605
6,environment 2,mainRoom6_12,A2G5ZASH1MGQTV,24,NA,NA,NA,NA,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,0,0,0,NA,NA
6,e1+e2,mainRoom6_12,A2G5ZASH1MGQTV,24,NA,NA,NA,NA,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,18,5,3,0.89990128855438,0.171703996486605
6,environment 1,mainRoom6_12,A2HSCKH5NKN5LP,24,1.25,0.25,10,40,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,12,10,18,0.916074086770926,0.170284063762325
6,environment 2,mainRoom6_12,A2HSCKH5NKN5LP,24,2.8,0.866666666666667,26,30,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,2,2,26,0.893988529339475,0.224191033138402
6,e1+e2,mainRoom6_12,A2HSCKH5NKN5LP,24,1.91428571428571,0.514285714285714,36,70,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,14,12,44,0.906608847871732,0.193721876534532
6,environment 1,mainRoom6_12,A2JPOXYZM5AJZZ,24,1.33333333333333,0.333333333333333,1,3,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,1,1,1,0.609900851204137,0.218434343434343
6,environment 2,mainRoom6_12,A2JPOXYZM5AJZZ,24,NA,NA,NA,NA,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,0,0,0,NA,NA
6,e1+e2,mainRoom6_12,A2JPOXYZM5AJZZ,24,NA,NA,NA,NA,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,1,1,1,0.609900851204137,0.218434343434343
6,environment 1,mainRoom6_12,A2OFN0A5CPLH57,24,1.675,0.675,27,40,78%,1.38395020602188,10.9346846846847,1.73907866291384,13.5788079470199,11,27,2,0.916074086770926,0.170284063762325
